uid,left,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,sales,salary
51,1,0.39,0.57,2,127,3,0,0,sales,low
52,1,0.43,0.57,2,127,3,0,0,IT,low
53,1,0.36,0.45,2,127,3,0,0,accounting,low
54,1,0.4,0.5,2,127,3,0,0,IT,low
55,1,0.39,0.54,2,127,3,0,0,sales,low
56,1,0.44,0.54,2,127,3,0,0,management,medium
57,1,0.4,0.46,2,127,3,0,0,technical,low
58,1,0.37,0.51,2,127,3,0,0,sales,medium
59,1,0.4,0.46,2,127,3,0,0,hr,medium
60,1,0.44,0.51,2,127,3,0,0,technical,medium
61,1,0.37,0.55,2,127,3,0,0,RandD,medium
62,1,0.41,0.52,2,127,3,1,0,support,low
63,1,0.39,0.54,2,127,3,0,0,IT,low
64,1,0.44,0.53,2,127,3,0,0,RandD,medium
65,1,0.39,0.53,2,127,3,0,0,sales,medium
66,1,0.39,0.57,2,127,3,0,0,sales,low
67,1,0.39,0.49,2,127,3,0,0,IT,medium
68,1,0.41,0.46,2,128,3,0,0,accounting,low
69,1,0.38,0.54,2,128,3,0,0,technical,low
70,1,0.44,0.5,2,128,3,0,0,support,low
71,1,0.4,0.5,2,128,3,0,0,sales,low
72,1,0.4,0.46,2,128,3,0,0,management,low
73,1,0.45,0.46,2,128,3,0,0,sales,low
74,1,0.37,0.52,2,128,3,0,0,accounting,low
75,1,0.4,0.49,2,128,3,0,0,sales,low
76,1,0.43,0.47,2,128,3,0,0,technical,medium
77,1,0.41,0.5,2,128,3,0,0,management,low
78,1,0.37,0.57,2,128,3,0,0,sales,medium
79,1,0.41,0.46,2,128,3,0,0,accounting,low
80,1,0.42,0.56,2,128,3,0,0,accounting,low
81,1,0.37,0.51,2,128,3,0,0,technical,medium
82,1,0.43,0.47,2,128,3,0,0,IT,low
83,1,0.4,0.57,2,128,3,0,0,support,medium
84,1,0.46,0.53,2,128,3,0,0,sales,medium
85,1,0.44,0.48,2,128,3,0,0,support,low
86,1,0.44,0.52,2,128,3,0,0,technical,medium
87,1,0.44,0.52,2,128,3,0,0,sales,medium
88,1,0.42,0.5,2,128,3,0,0,accounting,high
89,1,0.44,0.55,2,128,3,0,1,IT,medium
90,1,0.38,0.49,2,128,3,0,0,technical,low
91,1,0.38,0.52,2,128,3,0,0,sales,medium
92,1,0.38,0.47,2,128,3,0,0,sales,medium
93,1,0.43,0.51,2,128,3,0,0,sales,low
94,1,0.4,0.47,2,128,3,0,0,sales,medium
95,1,0.41,0.46,2,128,3,0,0,accounting,low
96,1,0.38,0.54,2,128,3,0,0,technical,low
97,1,0.44,0.5,2,128,3,0,0,support,low
98,1,0.4,0.5,2,128,3,0,0,sales,low
99,1,0.4,0.46,2,128,3,0,0,management,low
100,1,0.45,0.46,2,128,3,0,0,sales,low
101,1,0.37,0.52,2,128,3,0,0,accounting,low
102,1,0.4,0.49,2,128,3,0,0,sales,low
103,1,0.43,0.47,2,128,3,0,0,technical,medium
104,1,0.41,0.46,2,128,3,0,0,accounting,low
105,1,0.38,0.54,2,128,3,0,0,technical,low
106,1,0.44,0.5,2,128,3,0,0,support,low
107,1,0.4,0.5,2,128,3,0,0,sales,low
108,1,0.4,0.46,2,128,3,0,0,management,low
109,1,0.45,0.46,2,128,3,0,0,sales,low
110,1,0.37,0.52,2,128,3,0,0,accounting,low
111,1,0.38,0.47,2,128,3,0,0,sales,medium
112,1,0.43,0.51,2,128,3,0,0,sales,low
113,1,0.4,0.47,2,128,3,0,0,sales,medium
114,1,0.46,0.55,2,129,3,0,0,sales,low
115,1,0.42,0.48,2,129,3,0,0,management,low
116,1,0.43,0.55,2,129,3,0,0,sales,low
117,1,0.45,0.53,2,129,3,0,0,technical,high
118,1,0.39,0.51,2,129,3,0,0,IT,low
119,1,0.45,0.54,2,129,3,0,0,marketing,high
120,1,0.39,0.49,2,129,3,0,0,technical,medium
121,1,0.45,0.54,2,129,3,0,0,technical,medium
122,1,0.38,0.45,2,129,3,0,0,support,medium
123,1,0.37,0.57,2,129,3,0,0,product_mng,low
124,1,0.42,0.47,2,129,3,0,0,hr,low
125,1,0.46,0.53,2,129,3,0,0,technical,low
126,1,0.37,0.48,2,129,3,0,0,IT,medium
127,1,0.43,0.47,2,129,3,0,0,marketing,low
128,1,0.37,0.46,2,129,3,0,0,accounting,low
129,1,0.46,0.48,2,129,3,0,0,sales,low
130,1,0.43,0.46,2,129,3,0,0,marketing,low
131,1,0.44,0.51,2,129,3,0,0,support,medium
132,1,0.36,0.47,2,129,3,0,0,sales,medium
133,1,0.45,0.55,2,129,3,0,0,support,medium
134,1,0.4,0.5,2,129,3,0,0,IT,medium
135,1,0.39,0.52,2,129,3,0,0,product_mng,low
136,1,0.37,0.48,2,129,3,0,0,support,low
137,1,0.36,0.51,2,129,3,0,0,support,low
138,1,0.43,0.46,2,129,3,0,0,technical,medium
139,1,0.43,0.56,2,129,3,0,0,sales,low
140,1,0.43,0.57,2,129,3,0,0,sales,medium
141,1,0.46,0.55,2,129,3,0,0,sales,low
142,1,0.42,0.48,2,129,3,0,0,management,low
143,1,0.43,0.55,2,129,3,0,0,sales,low
144,1,0.45,0.53,2,129,3,0,0,technical,high
145,1,0.39,0.51,2,129,3,0,0,IT,low
146,1,0.45,0.54,2,129,3,0,0,marketing,high
147,1,0.39,0.49,2,129,3,0,0,technical,medium
148,1,0.45,0.54,2,129,3,0,0,technical,medium
149,1,0.38,0.45,2,129,3,0,0,support,medium
150,1,0.37,0.57,2,129,3,0,0,product_mng,low
151,1,0.46,0.55,2,129,3,0,0,sales,low
152,1,0.42,0.48,2,129,3,0,0,management,low
153,1,0.43,0.55,2,129,3,0,0,sales,low
154,1,0.45,0.53,2,129,3,0,0,technical,high
155,1,0.39,0.51,2,129,3,0,0,IT,low
156,1,0.45,0.54,2,129,3,0,0,marketing,high
157,1,0.39,0.49,2,129,3,0,0,technical,medium
158,1,0.45,0.54,2,129,3,0,0,technical,medium
159,1,0.43,0.56,2,129,3,0,0,sales,low
160,1,0.43,0.57,2,129,3,0,0,sales,medium
161,1,0.37,0.57,2,130,3,0,0,sales,low
162,1,0.4,0.5,2,130,3,0,0,sales,low
163,1,0.41,0.49,2,130,3,0,0,marketing,low
164,1,0.4,0.46,2,130,3,0,0,sales,low
165,1,0.45,0.46,2,130,3,0,0,technical,low
166,1,0.43,0.55,2,130,3,0,0,support,high
167,1,0.44,0.5,2,130,3,0,0,support,medium
168,1,0.44,0.47,2,130,3,0,0,technical,low
169,1,0.43,0.51,2,130,3,0,0,IT,low
170,1,0.44,0.49,2,130,3,0,0,sales,medium
171,1,0.42,0.54,2,130,3,0,0,support,medium
172,1,0.41,0.48,2,130,3,0,0,support,high
173,1,0.44,0.55,2,130,3,1,0,product_mng,low
174,1,0.43,0.47,2,130,3,0,0,technical,low
175,1,0.37,0.49,2,130,3,0,0,technical,low
176,1,0.42,0.47,2,130,3,0,0,hr,low
177,1,0.39,0.57,2,130,3,0,0,hr,low
178,1,0.39,0.56,2,130,3,0,0,sales,medium
179,1,0.38,0.55,2,130,3,0,0,technical,low
180,1,0.4,0.56,2,130,3,1,0,sales,medium
181,1,0.43,0.54,2,130,3,0,0,sales,low
182,1,0.36,0.46,2,130,3,0,0,accounting,low
183,1,0.37,0.46,2,130,3,1,0,technical,medium
184,1,0.36,0.51,2,130,3,0,0,sales,low
185,1,0.37,0.57,2,130,3,0,0,sales,low
186,1,0.4,0.5,2,130,3,0,0,sales,low
187,1,0.41,0.49,2,130,3,0,0,marketing,low
188,1,0.4,0.46,2,130,3,0,0,sales,low
189,1,0.45,0.46,2,130,3,0,0,technical,low
190,1,0.43,0.55,2,130,3,0,0,support,high
191,1,0.44,0.5,2,130,3,0,0,support,medium
192,1,0.44,0.47,2,130,3,0,0,technical,low
193,1,0.43,0.51,2,130,3,0,0,IT,low
194,1,0.37,0.57,2,130,3,0,0,sales,low
195,1,0.4,0.5,2,130,3,0,0,sales,low
196,1,0.41,0.49,2,130,3,0,0,marketing,low
197,1,0.4,0.46,2,130,3,0,0,sales,low
198,1,0.45,0.46,2,130,3,0,0,technical,low
199,1,0.43,0.55,2,130,3,0,0,support,high
200,1,0.44,0.5,2,130,3,0,0,support,medium
201,1,0.36,0.51,2,130,3,0,0,sales,low
202,1,0.43,0.53,2,131,3,0,0,IT,low
203,1,0.44,0.56,2,131,3,0,0,hr,medium
204,1,0.37,0.45,2,131,3,0,0,sales,low
205,1,0.4,0.56,2,131,3,0,0,IT,low
206,1,0.37,0.54,2,131,3,1,0,hr,medium
207,1,0.37,0.53,2,131,3,0,0,sales,low
208,1,0.43,0.47,2,131,3,0,0,accounting,low
209,1,0.41,0.47,2,131,3,0,0,marketing,medium
210,1,0.44,0.57,2,131,3,0,0,sales,low
211,1,0.43,0.57,2,131,3,1,0,support,medium
212,1,0.37,0.46,2,131,3,0,0,hr,low
213,1,0.4,0.46,2,131,3,0,0,technical,low
214,1,0.37,0.5,2,131,3,0,0,sales,medium
215,1,0.42,0.46,2,131,3,0,0,support,medium
216,1,0.39,0.57,2,131,3,0,0,support,medium
217,1,0.39,0.53,2,131,3,0,0,sales,medium
218,1,0.39,0.54,2,131,3,0,0,marketing,low
219,1,0.38,0.57,2,131,3,0,0,support,medium
220,1,0.45,0.53,2,131,3,0,0,support,medium
221,1,0.45,0.45,2,131,3,0,0,sales,low
222,1,0.42,0.53,2,131,3,0,0,accounting,medium
223,1,0.36,0.55,2,131,3,0,0,technical,low
224,1,0.39,0.47,2,131,3,0,0,technical,low
225,1,0.46,0.52,2,131,3,0,0,RandD,low
226,1,0.4,0.55,2,131,3,0,0,product_mng,medium
227,1,0.38,0.55,2,131,3,0,0,marketing,low
228,1,0.45,0.54,2,131,3,0,0,sales,medium
229,1,0.43,0.51,2,131,3,0,0,sales,medium
230,1,0.43,0.49,2,131,3,0,0,RandD,high
231,1,0.36,0.5,2,131,3,0,0,IT,medium
232,1,0.43,0.53,2,131,3,0,0,IT,low
233,1,0.44,0.56,2,131,3,0,0,hr,medium
234,1,0.37,0.45,2,131,3,0,0,sales,low
235,1,0.4,0.56,2,131,3,0,0,IT,low
236,1,0.37,0.54,2,131,3,1,0,hr,medium
237,1,0.37,0.53,2,131,3,0,0,sales,low
238,1,0.43,0.47,2,131,3,0,0,accounting,low
239,1,0.41,0.47,2,131,3,0,0,marketing,medium
240,1,0.43,0.53,2,131,3,0,0,IT,low
241,1,0.44,0.56,2,131,3,0,0,hr,medium
242,1,0.37,0.45,2,131,3,0,0,sales,low
243,1,0.4,0.56,2,131,3,0,0,IT,low
244,1,0.37,0.54,2,131,3,1,0,hr,medium
245,1,0.37,0.53,2,131,3,0,0,sales,low
246,1,0.43,0.49,2,131,3,0,0,RandD,high
247,1,0.38,0.5,2,132,3,0,0,accounting,low
248,1,0.39,0.54,2,132,3,0,0,support,low
249,1,0.36,0.56,2,132,3,0,0,IT,medium
250,1,0.44,0.45,2,132,3,0,0,sales,low
251,1,0.4,0.46,2,132,3,0,0,technical,low
252,1,0.38,0.49,2,132,3,0,0,support,low
253,1,0.36,0.5,2,132,3,0,0,technical,low
254,1,0.45,0.45,2,132,3,0,0,marketing,low
255,1,0.37,0.54,2,132,3,0,0,technical,low
256,1,0.37,0.51,2,132,3,0,0,technical,medium
257,1,0.36,0.5,2,132,3,0,0,management,low
258,1,0.36,0.46,2,132,3,0,0,sales,low
259,1,0.39,0.51,2,132,3,0,0,support,medium
260,1,0.44,0.5,2,132,3,0,0,technical,low
261,1,0.42,0.48,2,132,3,0,0,hr,low
262,1,0.42,0.46,2,132,3,0,0,sales,low
263,1,0.43,0.51,2,132,3,0,0,sales,medium
264,1,0.41,0.52,2,132,3,0,0,RandD,low
265,1,0.41,0.52,2,132,3,0,0,RandD,low
266,1,0.4,0.48,2,132,3,0,0,technical,low
267,1,0.4,0.46,2,132,3,0,0,product_mng,low
268,1,0.42,0.53,2,132,3,1,0,sales,low
269,1,0.38,0.45,2,132,3,0,0,sales,medium
270,1,0.38,0.5,2,132,3,0,0,accounting,low
271,1,0.39,0.54,2,132,3,0,0,support,low
272,1,0.36,0.56,2,132,3,0,0,IT,medium
273,1,0.44,0.45,2,132,3,0,0,sales,low
274,1,0.4,0.46,2,132,3,0,0,technical,low
275,1,0.38,0.49,2,132,3,0,0,support,low
276,1,0.36,0.5,2,132,3,0,0,technical,low
277,1,0.45,0.45,2,132,3,0,0,marketing,low
278,1,0.37,0.54,2,132,3,0,0,technical,low
279,1,0.37,0.51,2,132,3,0,0,technical,medium
280,1,0.36,0.5,2,132,3,0,0,management,low
281,1,0.38,0.5,2,132,3,0,0,accounting,low
282,1,0.39,0.54,2,132,3,0,0,support,low
283,1,0.36,0.56,2,132,3,0,0,IT,medium
284,1,0.44,0.45,2,132,3,0,0,sales,low
285,1,0.4,0.46,2,132,3,0,0,technical,low
286,1,0.38,0.49,2,132,3,0,0,support,low
287,1,0.36,0.5,2,132,3,0,0,technical,low
288,1,0.45,0.45,2,132,3,0,0,marketing,low
289,1,0.37,0.54,2,132,3,0,0,technical,low
290,1,0.37,0.51,2,132,3,0,0,technical,medium
291,1,0.37,0.57,2,133,3,0,0,technical,low
292,1,0.42,0.56,2,133,3,0,0,sales,low
293,1,0.43,0.56,2,133,3,0,0,RandD,low
294,1,0.39,0.57,2,133,3,0,0,technical,medium
295,1,0.36,0.53,2,133,3,0,0,sales,medium
296,1,0.39,0.54,2,133,3,0,0,marketing,low
297,1,0.39,0.56,2,133,3,0,0,technical,low
298,1,0.36,0.49,2,133,3,0,0,hr,medium
299,1,0.41,0.54,2,133,3,0,0,sales,medium
300,1,0.41,0.56,2,133,3,0,0,hr,medium
301,1,0.44,0.54,2,133,3,0,0,technical,low
302,1,0.41,0.56,2,133,3,0,0,support,low
303,1,0.44,0.56,2,133,3,0,0,technical,medium
304,1,0.37,0.57,2,133,3,0,0,technical,low
305,1,0.42,0.56,2,133,3,0,0,sales,low
306,1,0.37,0.57,2,133,3,0,0,technical,low
307,1,0.42,0.56,2,133,3,0,0,sales,low
308,1,0.44,0.56,2,133,3,0,0,technical,medium
309,1,0.45,0.57,2,134,3,0,0,hr,low
310,1,0.38,0.55,2,134,3,0,0,support,low
311,1,0.42,0.56,2,134,3,0,0,support,low
312,1,0.37,0.48,2,134,3,0,0,marketing,medium
313,1,0.45,0.57,2,134,3,0,0,sales,low
314,1,0.44,0.51,2,134,3,0,0,hr,medium
315,1,0.45,0.49,2,134,3,0,0,RandD,medium
316,1,0.39,0.45,2,134,3,0,0,technical,medium
317,1,0.39,0.52,2,134,3,0,0,technical,low
318,1,0.44,0.56,2,134,3,0,0,technical,medium
319,1,0.38,0.48,2,134,3,0,0,hr,low
320,1,0.38,0.55,2,134,3,0,0,IT,low
321,1,0.4,0.46,2,134,3,0,0,accounting,low
322,1,0.36,0.55,2,134,3,0,0,support,low
323,1,0.42,0.57,2,134,3,0,0,product_mng,medium
324,1,0.37,0.46,2,134,3,0,0,product_mng,medium
325,1,0.42,0.52,2,134,3,0,0,sales,low
326,1,0.45,0.57,2,134,3,0,0,hr,low
327,1,0.38,0.55,2,134,3,0,0,support,low
328,1,0.42,0.56,2,134,3,0,0,support,low
329,1,0.37,0.48,2,134,3,0,0,marketing,medium
330,1,0.45,0.57,2,134,3,0,0,sales,low
331,1,0.44,0.51,2,134,3,0,0,hr,medium
332,1,0.45,0.49,2,134,3,0,0,RandD,medium
333,1,0.39,0.45,2,134,3,0,0,technical,medium
334,1,0.39,0.52,2,134,3,0,0,technical,low
335,1,0.45,0.57,2,134,3,0,0,hr,low
336,1,0.38,0.55,2,134,3,0,0,support,low
337,1,0.42,0.56,2,134,3,0,0,support,low
338,1,0.37,0.48,2,134,3,0,0,marketing,medium
339,1,0.45,0.57,2,134,3,0,0,sales,low
340,1,0.44,0.51,2,134,3,0,0,hr,medium
341,1,0.45,0.49,2,134,3,0,0,RandD,medium
342,1,0.39,0.45,2,134,3,0,0,technical,medium
343,1,0.42,0.52,2,134,3,0,0,sales,low
344,1,0.45,0.54,2,135,3,0,0,sales,low
345,1,0.4,0.49,2,135,3,0,0,sales,low
346,1,0.44,0.55,2,135,3,0,0,support,low
347,1,0.43,0.5,2,135,3,0,0,product_mng,medium
348,1,0.4,0.46,2,135,3,0,0,technical,low
349,1,0.39,0.5,2,135,3,0,0,support,low
350,1,0.37,0.5,2,135,3,0,0,product_mng,low
351,1,0.43,0.45,2,135,3,0,0,marketing,low
352,1,0.45,0.47,2,135,3,0,0,RandD,medium
353,1,0.43,0.47,2,135,3,0,0,sales,low
354,1,0.41,0.52,2,135,3,0,0,sales,low
355,1,0.43,0.57,2,135,3,0,0,support,low
356,1,0.36,0.51,2,135,3,0,0,IT,low
357,1,0.41,0.47,2,135,3,0,0,support,low
358,1,0.43,0.49,2,135,3,0,0,accounting,medium
359,1,0.38,0.49,2,135,3,0,0,accounting,low
360,1,0.43,0.49,2,135,3,0,0,sales,medium
361,1,0.43,0.48,2,135,3,0,0,sales,medium
362,1,0.38,0.54,2,135,3,0,0,technical,medium
363,1,0.39,0.47,2,135,3,0,0,sales,low
364,1,0.39,0.56,2,135,3,0,0,hr,low
365,1,0.42,0.54,2,135,3,0,0,sales,medium
366,1,0.43,0.49,2,135,3,0,0,technical,low
367,1,0.44,0.5,2,135,3,0,0,sales,low
368,1,0.4,0.5,2,135,3,0,0,sales,medium
369,1,0.41,0.54,2,135,3,0,0,sales,low
370,1,0.42,0.46,2,135,3,0,0,technical,low
371,1,0.44,0.54,2,135,3,0,0,support,low
372,1,0.44,0.51,2,135,3,0,0,sales,medium
373,1,0.42,0.47,2,135,3,0,0,sales,low
374,1,0.45,0.54,2,135,3,0,0,sales,low
375,1,0.4,0.49,2,135,3,0,0,sales,low
376,1,0.44,0.55,2,135,3,0,0,support,low
377,1,0.43,0.5,2,135,3,0,0,product_mng,medium
378,1,0.4,0.46,2,135,3,0,0,technical,low
379,1,0.39,0.5,2,135,3,0,0,support,low
380,1,0.37,0.5,2,135,3,0,0,product_mng,low
381,1,0.43,0.45,2,135,3,0,0,marketing,low
382,1,0.45,0.47,2,135,3,0,0,RandD,medium
383,1,0.43,0.47,2,135,3,0,0,sales,low
384,1,0.41,0.52,2,135,3,0,0,sales,low
385,1,0.43,0.57,2,135,3,0,0,support,low
386,1,0.36,0.51,2,135,3,0,0,IT,low
387,1,0.41,0.47,2,135,3,0,0,support,low
388,1,0.43,0.49,2,135,3,0,0,accounting,medium
389,1,0.38,0.49,2,135,3,0,0,accounting,low
390,1,0.43,0.49,2,135,3,0,0,sales,medium
391,1,0.43,0.48,2,135,3,0,0,sales,medium
392,1,0.38,0.54,2,135,3,0,0,technical,medium
393,1,0.45,0.54,2,135,3,0,0,sales,low
394,1,0.4,0.49,2,135,3,0,0,sales,low
395,1,0.44,0.55,2,135,3,0,0,support,low
396,1,0.43,0.5,2,135,3,0,0,product_mng,medium
397,1,0.4,0.46,2,135,3,0,0,technical,low
398,1,0.39,0.5,2,135,3,0,0,support,low
399,1,0.37,0.5,2,135,3,0,0,product_mng,low
400,1,0.43,0.45,2,135,3,0,0,marketing,low
401,1,0.45,0.47,2,135,3,0,0,RandD,medium
402,1,0.43,0.47,2,135,3,0,0,sales,low
403,1,0.41,0.52,2,135,3,0,0,sales,low
404,1,0.43,0.57,2,135,3,0,0,support,low
405,1,0.36,0.51,2,135,3,0,0,IT,low
406,1,0.41,0.47,2,135,3,0,0,support,low
407,1,0.43,0.49,2,135,3,0,0,accounting,medium
408,1,0.38,0.49,2,135,3,0,0,accounting,low
409,1,0.43,0.49,2,135,3,0,0,sales,medium
410,1,0.42,0.47,2,135,3,0,0,sales,low
411,1,0.32,0.5,2,135,5,0,0,sales,low
412,1,0.32,0.5,2,135,5,0,0,sales,low
413,1,0.32,0.5,2,135,5,0,0,sales,low
414,1,0.39,0.5,2,136,3,0,0,management,low
415,1,0.45,0.48,2,136,3,0,0,product_mng,medium
416,1,0.41,0.57,2,136,3,0,0,support,low
417,1,0.42,0.51,2,136,3,0,0,technical,medium
418,1,0.41,0.52,2,136,3,0,0,technical,low
419,1,0.41,0.48,2,136,3,0,0,marketing,medium
420,1,0.43,0.51,2,136,3,0,0,hr,medium
421,1,0.43,0.55,2,136,3,0,0,sales,low
422,1,0.39,0.46,2,136,3,0,0,support,medium
423,1,0.43,0.56,2,136,3,0,0,sales,low
424,1,0.36,0.54,2,136,3,0,0,IT,low
425,1,0.36,0.47,2,136,3,0,0,accounting,low
426,1,0.4,0.51,2,136,3,0,0,product_mng,low
427,1,0.45,0.57,2,136,3,0,0,sales,low
428,1,0.44,0.55,2,136,3,0,0,technical,medium
429,1,0.4,0.52,2,136,3,0,0,sales,medium
430,1,0.45,0.47,2,136,3,0,0,sales,medium
431,1,0.39,0.53,2,136,3,0,0,hr,low
432,1,0.41,0.48,2,136,3,0,0,technical,medium
433,1,0.4,0.5,2,136,3,0,0,marketing,low
434,1,0.38,0.53,2,136,3,0,0,product_mng,medium
435,1,0.43,0.53,2,136,3,0,0,sales,medium
436,1,0.36,0.48,2,136,3,0,0,support,low
437,1,0.43,0.52,2,136,3,0,0,IT,medium
438,1,0.4,0.47,2,136,3,0,0,hr,medium
439,1,0.43,0.48,2,136,3,0,0,RandD,high
440,1,0.39,0.5,2,136,3,0,0,management,low
441,1,0.45,0.48,2,136,3,0,0,product_mng,medium
442,1,0.41,0.57,2,136,3,0,0,support,low
443,1,0.42,0.51,2,136,3,0,0,technical,medium
444,1,0.41,0.52,2,136,3,0,0,technical,low
445,1,0.41,0.48,2,136,3,0,0,marketing,medium
446,1,0.43,0.51,2,136,3,0,0,hr,medium
447,1,0.43,0.55,2,136,3,0,0,sales,low
448,1,0.39,0.46,2,136,3,0,0,support,medium
449,1,0.39,0.5,2,136,3,0,0,management,low
450,1,0.45,0.48,2,136,3,0,0,product_mng,medium
451,1,0.41,0.57,2,136,3,0,0,support,low
452,1,0.42,0.51,2,136,3,0,0,technical,medium
453,1,0.41,0.52,2,136,3,0,0,technical,low
454,1,0.41,0.48,2,136,3,0,0,marketing,medium
455,1,0.43,0.51,2,136,3,0,0,hr,medium
456,1,0.43,0.55,2,136,3,0,0,sales,low
457,1,0.39,0.46,2,136,3,0,0,support,medium
458,1,0.4,0.47,2,136,3,0,0,hr,medium
459,1,0.36,0.56,2,137,3,0,0,sales,low
460,1,0.38,0.46,2,137,3,0,0,technical,low
461,1,0.4,0.54,2,137,3,0,0,marketing,medium
462,1,0.37,0.48,2,137,3,0,0,technical,medium
463,1,0.36,0.48,2,137,3,0,0,technical,low
464,1,0.4,0.48,2,137,3,0,0,sales,medium
465,1,0.43,0.5,2,137,3,0,0,support,medium
466,1,0.4,0.56,2,137,3,0,0,accounting,medium
467,1,0.44,0.52,2,137,3,0,0,technical,medium
468,1,0.41,0.51,2,137,3,0,0,support,medium
469,1,0.43,0.47,2,137,3,0,0,marketing,medium
470,1,0.11,0.55,2,137,3,1,0,RandD,low
471,1,0.36,0.52,2,137,3,1,0,sales,medium
472,1,0.36,0.52,2,137,3,0,0,marketing,low
473,1,0.44,0.55,2,137,3,0,0,RandD,low
474,1,0.43,0.47,2,137,3,0,0,hr,medium
475,1,0.42,0.47,2,137,3,0,0,support,medium
476,1,0.45,0.51,2,137,3,0,0,support,low
477,1,0.44,0.52,2,137,3,0,0,RandD,medium
478,1,0.38,0.51,2,137,3,0,0,support,low
479,1,0.39,0.51,2,137,3,0,0,technical,low
480,1,0.38,0.49,2,137,3,0,0,technical,medium
481,1,0.42,0.56,2,137,3,0,0,marketing,low
482,1,0.36,0.56,2,137,3,0,0,sales,low
483,1,0.38,0.46,2,137,3,0,0,technical,low
484,1,0.4,0.54,2,137,3,0,0,marketing,medium
485,1,0.37,0.48,2,137,3,0,0,technical,medium
486,1,0.36,0.48,2,137,3,0,0,technical,low
487,1,0.4,0.48,2,137,3,0,0,sales,medium
488,1,0.43,0.5,2,137,3,0,0,support,medium
489,1,0.4,0.56,2,137,3,0,0,accounting,medium
490,1,0.44,0.52,2,137,3,0,0,technical,medium
491,1,0.36,0.56,2,137,3,0,0,sales,low
492,1,0.38,0.46,2,137,3,0,0,technical,low
493,1,0.4,0.54,2,137,3,0,0,marketing,medium
494,1,0.37,0.48,2,137,3,0,0,technical,medium
495,1,0.36,0.48,2,137,3,0,0,technical,low
496,1,0.4,0.48,2,137,3,0,0,sales,medium
497,1,0.43,0.5,2,137,3,0,0,support,medium
498,1,0.4,0.56,2,137,3,0,0,accounting,medium
499,1,0.44,0.52,2,137,3,0,0,technical,medium
500,1,0.39,0.51,2,137,3,0,0,technical,low
501,1,0.38,0.49,2,137,3,0,0,technical,medium
502,1,0.46,0.49,2,138,3,0,0,support,low
503,1,0.44,0.51,2,138,3,0,0,support,low
504,1,0.45,0.53,2,138,3,0,0,accounting,medium
505,1,0.41,0.47,2,138,3,0,0,sales,low
